kit_id,water_latitude,water_longitude,water_elevation_m,water_collection_time_utc,water_macrophytes_algae,water_systemtype,water_volume_ml,water_notes,sediment_latitude,sediment_longitude,sediment_elevation_m,sediment_collection_time_utc,sediment_soil_type,sediment_rotten_egg_smell,sediment_color,sediment_notes,wetland_latitude,wetland_longitude,wetland_elevation_m,wetland_collection_time_utc,wetland_soil_type,wetland_soil_horizon,wetland_notes,transition_latitude,transition_longitude,transition_elevation_m,transition_collection_time_utc,transition_soil_type,transition_soil_horizon,transition_notes,upland_latitude,upland_longitude,upland_elevation_m,upland_collection_time_utc,upland_soil_type,upland_soil_horizon,upland_ecosystem_code_IGBP,upland_notes,elevation_flag
K049,42.6708,-86.2107,177.23,15:10:00,"Macrophytes, Algae",Lake,70,NA,42.6708,-86.2107,177.23,15:15:00,Dune land and Beaches (4),Yes,Black,NA,42.6708,-86.2106,177.33,15:25:00,Dune land and Beaches (4),Organic,NA,42.6709,-86.2106,178.22,15:32:00,Dune land and Beaches (4),Mineral,NA,42.6709,-86.2105,178.68,15:43:00,Dune land and Beaches (4),Mineral,NA,NA,NA
K050,37.3344,-77.2072,0.16,19:44:00,"Macrophytes, Algae",Tidal Stream,105,"macroalgae, a few emergent macrophyte",37.3344,-77.2072,0.16,19:50:00,Water (W),No,Light Chocolate,"water depth ~60cm, sediment is very sandy",37.3347,-77.2069,0.72,20:05:00,Water (W),Organic,"soil type lsits as ""W"" because site was flooded when last soil survey was done. Lots of roots in soil",37.3347,-77.2058,7.16,20:17:00,"Nevarc-Remlik complex, 10 to 15 percent slopes (35D)",Mineral,transition site where intermittent stream (now dry) enter wetland,37.3347,-77.2058,7.16,20:24:00,"Nevarc-Remlik complex, 10 to 15 percent slopes (35D)",Organic,5,"despite same GPS as transition, this site was ~15m south of transition",NA
K051,38.5747,-76.2191,0.74,19:25:00,NA,NA,NA,NA,38.5747,-76.2191,0.74,19:25:00,"Sunken mucky silt loam, 0 to 2 percent slopes, occasionally flooded, tidal (SuA)",NA,NA,NA,38.5747,-76.2194,0.53,19:10:00,"Sunken mucky silt loam, 0 to 2 percent slopes, occasionally flooded, tidal (SuA)",NA,NA,38.5747,-76.2191,0.74,19:15:00,"Sunken mucky silt loam, 0 to 2 percent slopes, occasionally flooded, tidal (SuA)",NA,NA,38.5746,-76.2185,0.75,19:00:00,"Elkton silt loam, 0 to 2 percent slopes (EmA)",NA,NA,NA,NA
K052,38.1595,-75.7905,0.59,NA,NA,NA,NA,NA,38.1595,-75.7904,0,NA,"Transquaking and Mispillion soils, very frequently flooded, tidal (TP)",NA,NA,NA,38.1596,-75.7899,0.54,NA,"Transquaking and Mispillion soils, very frequently flooded, tidal (TP)",NA,NA,38.1604,-75.7899,0.81,NA,"Queponco silt loam, 0 to 2 percent slopes (QeA)",NA,NA,38.1609,-75.7906,0.8,NA,"Queponco silt loam, 0 to 2 percent slopes (QeA)",NA,NA,NA,NA
K053,38.812,-76.7083,0.32,19:26:00,Macrophytes,"Freshwater, Tidal River",92,1GBP=11,38.8121,-76.7082,0.32,19:47:00,"Mispillion and Transquaking soils, 0 to 1 percent slopes, tidally flooded (MZA)",No,Light Chocolate,NA,38.812,-76.708,0.4,18:53:00,"Mispillion and Transquaking soils, 0 to 1 percent slopes, tidally flooded (MZA)",Organic,1GBP=11; 1.66ft elevation,38.812,-76.7061,3.74,18:22:00,"Evesboro-Galestown-Urban land complex, 0 to 5 percent slopes (EuB)",Mineral,"water table near surface, some gravel; 1.87ft elevation using the Google Earth app",38.812,-76.7061,3.74,18:05:00,"Evesboro-Galestown-Urban land complex, 0 to 5 percent slopes (EuB)",Organic,4,Google Earth app used for elevation,NA
K054,38.9677,-75.3703,0.33,NA,Macrophytes,Tidal Stream,120,many phrag bits,38.9677,-75.3703,0.33,NA,"Transquaking and Mispillion soils, very frequently flooded, tidal (TP)",Yes,"Grey, Dark Chocolate",MANY phragmites bits,38.968,-75.37,0.56,NA,"Transquaking and Mispillion soils, very frequently flooded, tidal (TP)",Organic,NA,38.9681,-75.3698,1.08,NA,"Pineyneck loam, 0 to 2 percent slopes (PyA)",Organic,Many roots,38.9683,-75.3697,1.13,NA,"Pineyneck loam, 0 to 2 percent slopes (PyA)",Organic,5,Many roots,NA
K055,39.8055,-75.2077,1.03,17:26:00,Macrophytes,Tidal stream,240,NA,39.8055,-75.2077,1.03,17:30:00,"Freehold sandy loam, 15 to 25 percent slopes (FrkE)",NA,Dark chocolate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8057,-75.2103,7.56,14:30:00,"Freehold sandy loam, 15 to 25 percent slopes (FrkE)",NA,3,NA,NA
K056,39.1838,-74.8511,0.78,17:00:00,NA,Tidal Stream,70,NA,39.1838,-74.8511,0.78,17:15:00,"Mispillion-Transquaking-Appoquinimink complex, 0 to 1 percent slopes, very frequently flooded (MmtAv)",Yes,Dark Chocolate,NA,39.1838,-74.8511,0.78,17:20:00,"Mispillion-Transquaking-Appoquinimink complex, 0 to 1 percent slopes, very frequently flooded (MmtAv)",Organic,Spartina alterniflora (not recorded in the physical metadata sheet);  NAVD88 used for elevation,39.1836,-74.8517,0.99,17:30:00,"Mispillion-Transquaking-Appoquinimink complex, 0 to 1 percent slopes, very frequently flooded (MmtAv)",Mineral,Phragmites australis (not recorded on the phyiscal metadata sheet); NAVD88 used for elevation,39.1837,-74.8518,1.17,17:40:00,"Galloway loamy sand, 0 to 5 percent slopes (GamB)",Organic,5,NAVD88 used for elevation,NA
K057,39.1683,-75.5211,4.64,NA,None,Lake,NA,Water color description: Greenish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K058,39.2576,-75.0905,0.76,12:00:00,None,Tidal Stream,230,NA,39.2576,-75.0905,0.76,12:15:00,"Transquaking peat, 0 to 1 percent slopes, very frequently flooded, tidal (TrkAv)",Yes,Dark Chocolate,NA,39.2575,-75.0904,0.73,12:20:00,"Transquaking peat, 0 to 1 percent slopes, very frequently flooded, tidal (TrkAv)",Organic,spartina alternifora; NAVD88 used for elevation,39.2574,-75.0903,1.39,12:25:00,"Transquaking peat, 0 to 1 percent slopes, very frequently flooded, tidal (TrkAv)",Organic,phragmites australis; NAVDD88 used for elevation,39.3574,-75.0903,17.51,12:33:00,"Galloway loamy sand, 0 to 5 percent slopes (GamB)",Organic,4,NAVD88 used for elevation,NA
K059,38.4292,-76.2374,0.15,14:45:00,NA,Tidal Stream,420,water cloudy,38.4292,-76.2374,0.15,16:15:00,"Honga peat, very frequently flooded, tidal (Ho)",No,Light Chocolate,eroded marsh,38.4295,-76.2269,0.45,15:40:00,"Sunken mucky silt loam, 0 to 2 percent slopes, occasionally flooded, tidal (SuA)",Organic,schonoplectus americanus,38.4303,-76.2269,0.52,15:30:00,"Sunken mucky silt loam, 0 to 2 percent slopes, occasionally flooded, tidal (SuA)",Organic,boundary between dead and alive loblolly pine. Only a little phragmites,38.4305,-76.2265,0.97,15:10:00,"Sunken mucky silt loam, 0 to 2 percent slopes, occasionally flooded, tidal (SuA)",Organic,5,high forest plot; hardwood and pine,NA
K060,39.3259,-75.4749,1.5,17:35:00,Macrophytes,Estuary,170,"YSI died, Water color description: Brown",39.325,-75.479,-0.57,17:50:00,"Broadkill-Appoquinimink complex, very frequently flooded, tidal (Ba)",No,"Black, Grey",NA,39.3123,-75.4961,-0.04,18:05:00,"Broadkill-Appoquinimink complex, very frequently flooded, tidal (Ba)",Organic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,inconsistent
K061,39.2157,-75.4618,0.52,14:00:00,None,Tidal Stream,120,No photo - unable to take phone,39.2157,-75.4618,0.52,14:10:00,"Broadkill-Appoquinimink complex, very frequently flooded, tidal (Ba)",Yes,"Grey, Dark Chocolate",NA,39.2153,-75.4609,1.03,13:45:00,"Pineyneck loam, 0 to 2 percent slopes (PyA)",Organic,Permanent wetland,39.2152,-75.4607,0.98,13:25:00,"Pineyneck loam, 0 to 2 percent slopes (PyA)",Organic,Crop + natural veg,39.2151,-75.4605,177.04,13:20:00,NA,Organic,12,NA,NA
K062,38.8753,-76.5513,0.01,14:00:00,None,Estuary,270,sediment temp: 18.7C,38.8753,-76.5513,0.01,14:40:00,"Mispillion and Transquaking soils, 0 to 1 percent slopes, tidally flooded (MZA)",No,Grey,NA,38.8751,-76.5515,0.02,13:36:00,"Mispillion and Transquaking soils, 0 to 1 percent slopes, tidally flooded (MZA)",Organic,Will calculate soil moisture from soil samples taken today and send at a later date,38.8747,-76.5516,2.23,13:20:00,"Collington and Annapolis soils, 10 to 15 percent slopes (CRD)",Organic,Will calculate soil moisture from soil samples taken today and send at a later date,38.8743,-76.5515,2.38,13:00:00,"Collington and Annapolis soils, 10 to 15 percent slopes (CRD)",Organic,4,Will calculate soil moisture from soil samples taken today and send at a later date,NA
